,0.0
_X_______________O_______________________________________________________________,0.150094635296999
_X______________OO_______________________________________________________X_______,0.1667718169966656
_X_____________OOO______________________________________________X________X_______,0.185302018885184
_X_____________OOO_____________________________________X________X________X______O,0.20589113209464888
_X_____________OOO________O____________________________X________X________XX_____O,0.22876792454960987
_X_____________OOO________O________O___________________X________X________XXX____O,0.25418658283289985
_X_____________OOO________O________O________O__________X________X________XXXX___O,0.2824295364809999
_X_____________OOO________O________O________O________O_X________X________XXXXX__O,0.31381059608999984
_XX____________OOO_______OO________O________O________O_X________X________XXXXX__O,0.3486784400999998
_XX____________OOO______OOO________O________O________O_X________XX_______XXXXX__O,0.3874204889999998
_XX____________OOO______OOO________O________O________O_XX_______XX_____O_XXXXX__O,0.43046720999999977
_XXX___________OOO______OOO_______OO________O________O_XX_______XX_____O_XXXXX__O,0.4782968999999998
_XXX___________OOO______OOO______OOO________O________O_XX_______XXX____O_XXXXX__O,0.5314409999999998
_XXX___________OOO______OOO______OOO________O________O_XXX______XXX___OO_XXXXX__O,0.59049
_XXX___________OOO______OOO______OOO_______OO________O_XXX______XXXX__OO_XXXXX__O,0.6560999999999999
_XXX___________OOO______OOO______OOO_______OO_______OO_XXX______XXXXX_OO_XXXXX__O,0.7289999999999999
_XXXX__________OOO______OOO______OOO______OOO_______OO_XXX______XXXXX_OO_XXXXX__O,0.8099999999999998
_XXXX__________OOO______OOO______OOO______OOO_______OO_XXXX___O_XXXXX_OO_XXXXX__O,0.8999999999999999
_XXXXX_________OOO______OOO______OOO______OOO______OOO_XXXX__OO_XXXXX_OO_XXXXX__O,1
_XXXXX_________OOO______OOO______OOO______OOO______OOO_XXXX___O_XXXXX_OO_XXXXX__O,1.0
